Language,Model,Accuracy,Precision,Recall,F1-Macro,F1-Normal,F1-Abusive,F1-Hate
Hausa,TF-IDF LR,0.9342,0.8425,0.7472,0.7849,0.9641,0.0,0.6057
Hausa,AfriBERTa,0.9657,0.9625,0.8382,0.8884,0.9813,0.0,0.7955
Igbo,TF-IDF LR,0.9805,0.9715,0.9411,0.9556,0.9889,0.0,0.9223
Igbo,AfriBERTa,0.9781,0.9739,0.9278,0.9492,0.9875,0.0,0.9109
Nigerian Pidgin,TF-IDF LR,0.8851,0.7192,0.7722,0.7412,0.9342,0.0,0.5481
Nigerian Pidgin,AfriBERTa,0.882,0.7148,0.7754,0.739,0.9322,0.0,0.5459
Yorùbá,TF-IDF LR,0.873,0.8533,0.5224,0.5097,0.9318,0.0,0.0877
Yorùbá,AfriBERTa,0.8681,0.4341,0.5,0.4647,0.9294,0.0,0.0
